Team,Conf,Season,Game,Home,Away,Points,Points Against,Date
Auburn,SEC,2000,Auburn vs Wyoming,Auburn,Wyoming,35,21,2000-08-31T00:00:00.000Z
South Carolina,SEC,2000,South Carolina vs New Mexico State,South Carolina,New Mexico State,31,0,2000-09-02T00:00:00.000Z
LSU,SEC,2000,LSU vs Western Carolina,LSU,Western Carolina,58,0,2000-09-02T00:00:00.000Z
Louisville,Conference USA,2000,Louisville vs Kentucky,Louisville,Kentucky,40,34,2000-09-02T00:00:00.000Z
Vanderbilt,SEC,2000,Vanderbilt vs Miami (OH),Vanderbilt,Miami (OH),30,33,2000-09-02T00:00:00.000Z
Ole Miss,SEC,2000,Ole Miss vs Tulane,Ole Miss,Tulane,49,20,2000-09-02T00:00:00.000Z
Memphis,Conference USA,2000,Memphis vs Mississippi State,Memphis,Mississippi State,3,17,2000-09-02T00:00:00.000Z
Georgia,SEC,2000,Georgia vs Georgia Southern,Georgia,Georgia Southern,29,7,2000-09-02T00:00:00.000Z
Arkansas,SEC,2000,Arkansas vs Missouri State,Arkansas,Missouri State,38,0,2000-09-02T00:00:00.000Z
Florida,SEC,2000,Florida vs Ball State,Florida,Ball State,40,19,2000-09-02T00:00:00.000Z
Tennessee,SEC,2000,Tennessee vs Southern Miss,Tennessee,Southern Miss,19,16,2000-09-02T00:00:00.000Z
UCLA,Pac-10,2000,UCLA vs Alabama,UCLA,Alabama,35,24,2000-09-02T00:00:00.000Z
Florida,SEC,2000,Florida vs Middle Tennessee,Florida,Middle Tennessee,55,0,2000-09-09T00:00:00.000Z
Kentucky,SEC,2000,Kentucky vs South Florida,Kentucky,South Florida,27,9,2000-09-09T00:00:00.000Z
LSU,SEC,2000,LSU vs Houston,LSU,Houston,28,13,2000-09-09T00:00:00.000Z
Alabama,SEC,2000,Alabama vs Vanderbilt,Alabama,Vanderbilt,28,10,2000-09-09T00:00:00.000Z
Ole Miss,SEC,2000,Ole Miss vs Auburn,Ole Miss,Auburn,27,35,2000-09-09T00:00:00.000Z
South Carolina,SEC,2000,South Carolina vs Georgia,South Carolina,Georgia,21,10,2000-09-09T00:00:00.000Z
BYU,Mountain West,2000,BYU vs Mississippi State,BYU,Mississippi State,28,44,2000-09-14T00:00:00.000Z
South Carolina,SEC,2000,South Carolina vs Eastern Michigan,South Carolina,Eastern Michigan,41,6,2000-09-16T00:00:00.000Z
Arkansas,SEC,2000,Arkansas vs Boise State,Arkansas,Boise State,38,31,2000-09-16T00:00:00.000Z
Vanderbilt,SEC,2000,Vanderbilt vs Ole Miss,Vanderbilt,Ole Miss,7,12,2000-09-16T00:00:00.000Z
Tennessee,SEC,2000,Tennessee vs Florida,Tennessee,Florida,23,27,2000-09-16T00:00:00.000Z
Kentucky,SEC,2000,Kentucky vs Indiana,Kentucky,Indiana,41,34,2000-09-16T00:00:00.000Z
Auburn,SEC,2000,Auburn vs LSU,Auburn,LSU,34,17,2000-09-16T00:00:00.000Z
Alabama,SEC,2000,Alabama vs Southern Miss,Alabama,Southern Miss,0,21,2000-09-16T00:00:00.000Z
South Carolina,SEC,2000,South Carolina vs Mississippi State,South Carolina,Mississippi State,23,19,2000-09-23T00:00:00.000Z
Arkansas,SEC,2000,Arkansas vs Alabama,Arkansas,Alabama,28,21,2000-09-23T00:00:00.000Z
Georgia,SEC,2000,Georgia vs New Mexico State,Georgia,New Mexico State,37,0,2000-09-23T00:00:00.000Z
Vanderbilt,SEC,2000,Vanderbilt vs Duke,Vanderbilt,Duke,26,7,2000-09-23T00:00:00.000Z
Florida,SEC,2000,Florida vs Kentucky,Florida,Kentucky,59,31,2000-09-23T00:00:00.000Z
Auburn,SEC,2000,Auburn vs Northern Illinois,Auburn,Northern Illinois,31,14,2000-09-23T00:00:00.000Z
LSU,SEC,2000,LSU vs UAB,LSU,UAB,10,13,2000-09-23T00:00:00.000Z
Tennessee,SEC,2000,Tennessee vs UL Monroe,Tennessee,UL Monroe,70,3,2000-09-23T00:00:00.000Z
Alabama,SEC,2000,Alabama vs South Carolina,Alabama,South Carolina,27,17,2000-09-30T00:00:00.000Z
Mississippi State,SEC,2000,Mississippi State vs Florida,Mississippi State,Florida,47,35,2000-09-30T00:00:00.000Z
LSU,SEC,2000,LSU vs Tennessee,LSU,Tennessee,38,31,2000-09-30T00:00:00.000Z
Arkansas,SEC,2000,Arkansas vs Georgia,Arkansas,Georgia,7,38,2000-09-30T00:00:00.000Z
Auburn,SEC,2000,Auburn vs Vanderbilt,Auburn,Vanderbilt,33,0,2000-09-30T00:00:00.000Z
Ole Miss,SEC,2000,Ole Miss vs Kentucky,Ole Miss,Kentucky,35,17,2000-09-30T00:00:00.000Z
Arkansas,SEC,2000,Arkansas vs UL Monroe,Arkansas,UL Monroe,52,6,2000-10-07T00:00:00.000Z
Ole Miss,SEC,2000,Ole Miss vs Arkansas State,Ole Miss,Arkansas State,35,10,2000-10-07T00:00:00.000Z
Wake Forest,ACC,2000,Wake Forest vs Vanderbilt,Wake Forest,Vanderbilt,10,17,2000-10-07T00:00:00.000Z
Kentucky,SEC,2000,Kentucky vs South Carolina,Kentucky,South Carolina,17,20,2000-10-07T00:00:00.000Z
Florida,SEC,2000,Florida vs LSU,Florida,LSU,41,9,2000-10-07T00:00:00.000Z
Georgia,SEC,2000,Georgia vs Tennessee,Georgia,Tennessee,21,10,2000-10-07T00:00:00.000Z
Mississippi State,SEC,2000,Mississippi State vs Auburn,Mississippi State,Auburn,17,10,2000-10-07T00:00:00.000Z
South Carolina,SEC,2000,South Carolina vs Arkansas,South Carolina,Arkansas,27,7,2000-10-14T00:00:00.000Z
LSU,SEC,2000,LSU vs Kentucky,LSU,Kentucky,34,0,2000-10-14T00:00:00.000Z
Georgia,SEC,2000,Georgia vs Vanderbilt,Georgia,Vanderbilt,29,19,2000-10-14T00:00:00.000Z
Florida,SEC,2000,Florida vs Auburn,Florida,Auburn,38,7,2000-10-14T00:00:00.000Z
